orbit-type,sensor-type,satellite,data-type,orbit-type-description,sensor-type-description,satellite-description,data-type-description
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,arase-erg,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,arase-erg,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,arase-erg,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,arase-erg,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-1,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-1,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-1,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-2,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-2,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-2,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-3,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-3,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-3,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-4,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-4,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-4,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-4,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-a,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-a,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-a,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-b,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-b,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-b,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-c,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-c,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-c,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-d,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-d,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,mms-d,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,mms-d,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,themis-a,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,themis-a,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,themis-a,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,themis-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,themis-d,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,themis-d,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,themis-d,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,themis-d,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,themis-e,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,themis-e,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,themis-e,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,themis-e,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,cosmic-2,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,cosmic-2,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,cosmic-2,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,cosmic-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,fy-3g,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,fy-3g,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,fy-3g,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,fy-3g,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,hy-2c,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,hy-2c,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,hy-2c,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,hy-2c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,hy-2d,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,hy-2d,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,hy-2d,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,hy-2d,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,icon,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,icon,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,icon,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,icon,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,jason-3,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,jason-3,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,jason-3,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,jason-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,sentinel-6a,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,sentinel-6a,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,sentinel-6a,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,sentinel-6a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,swarm-a,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swarm-a,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,swarm-a,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swarm-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,swarm-b,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swarm-b,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,swarm-b,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swarm-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,swarm-c,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swarm-c,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,swarm-c,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swarm-c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,swot,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swot,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,swot,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,swot,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,timed,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,timed,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,timed,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,timed,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,tropics-03,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-03,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,tropics-03,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-03,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,tropics-05,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-05,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,tropics-05,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-05,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,tropics-06,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-06,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,tropics-06,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-06,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,tropics-07,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-07,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,tropics-07,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,tropics-07,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,energetic-particle-spectrometer-and-magnetometer,xmm-newton,level-0,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,xmm-newton,Raw data at full instrument resolution.
drift,energetic-particle-spectrometer-and-magnetometer,xmm-newton,level-1,Drifting orbit,energetic-particle-spectrometer-and-magnetometer,xmm-newton,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,diademe-1,level-0,Drifting orbit,gravitometry,diademe-1,Raw data at full instrument resolution.
drift,gravitometry,diademe-1,level-1,Drifting orbit,gravitometry,diademe-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,diademe-2,level-0,Drifting orbit,gravitometry,diademe-2,Raw data at full instrument resolution.
drift,gravitometry,diademe-2,level-1,Drifting orbit,gravitometry,diademe-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,grace-fo,level-0,Drifting orbit,gravitometry,grace-fo,Raw data at full instrument resolution.
drift,gravitometry,grace-fo,level-1,Drifting orbit,gravitometry,grace-fo,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,hy-2c,level-0,Drifting orbit,gravitometry,hy-2c,Raw data at full instrument resolution.
drift,gravitometry,hy-2c,level-1,Drifting orbit,gravitometry,hy-2c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,hy-2d,level-0,Drifting orbit,gravitometry,hy-2d,Raw data at full instrument resolution.
drift,gravitometry,hy-2d,level-1,Drifting orbit,gravitometry,hy-2d,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,icesat-2,level-0,Drifting orbit,gravitometry,icesat-2,Raw data at full instrument resolution.
drift,gravitometry,icesat-2,level-1,Drifting orbit,gravitometry,icesat-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,jason-3,level-0,Drifting orbit,gravitometry,jason-3,Raw data at full instrument resolution.
drift,gravitometry,jason-3,level-1,Drifting orbit,gravitometry,jason-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,lageos-1,level-0,Drifting orbit,gravitometry,lageos-1,Raw data at full instrument resolution.
drift,gravitometry,lageos-1,level-1,Drifting orbit,gravitometry,lageos-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,lageos-2,level-0,Drifting orbit,gravitometry,lageos-2,Raw data at full instrument resolution.
drift,gravitometry,lageos-2,level-1,Drifting orbit,gravitometry,lageos-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,lares-1,level-0,Drifting orbit,gravitometry,lares-1,Raw data at full instrument resolution.
drift,gravitometry,lares-1,level-1,Drifting orbit,gravitometry,lares-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,lares-2,level-0,Drifting orbit,gravitometry,lares-2,Raw data at full instrument resolution.
drift,gravitometry,lares-2,level-1,Drifting orbit,gravitometry,lares-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,sentinel-6a,level-0,Drifting orbit,gravitometry,sentinel-6a,Raw data at full instrument resolution.
drift,gravitometry,sentinel-6a,level-1,Drifting orbit,gravitometry,sentinel-6a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,starlette,level-0,Drifting orbit,gravitometry,starlette,Raw data at full instrument resolution.
drift,gravitometry,starlette,level-1,Drifting orbit,gravitometry,starlette,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,stella,level-0,Drifting orbit,gravitometry,stella,Raw data at full instrument resolution.
drift,gravitometry,stella,level-1,Drifting orbit,gravitometry,stella,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,swarm-a,level-0,Drifting orbit,gravitometry,swarm-a,Raw data at full instrument resolution.
drift,gravitometry,swarm-a,level-1,Drifting orbit,gravitometry,swarm-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,swarm-b,level-0,Drifting orbit,gravitometry,swarm-b,Raw data at full instrument resolution.
drift,gravitometry,swarm-b,level-1,Drifting orbit,gravitometry,swarm-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,swarm-c,level-0,Drifting orbit,gravitometry,swarm-c,Raw data at full instrument resolution.
drift,gravitometry,swarm-c,level-1,Drifting orbit,gravitometry,swarm-c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,gravitometry,swot,level-0,Drifting orbit,gravitometry,swot,Raw data at full instrument resolution.
drift,gravitometry,swot,level-1,Drifting orbit,gravitometry,swot,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,in_situ_plasma_probe,galileo,level-0,Drifting orbit,in_situ_plasma_probe,galileo,Raw data at full instrument resolution.
drift,in_situ_plasma_probe,galileo,level-1,Drifting orbit,in_situ_plasma_probe,galileo,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,in_situ_plasma_probe,jason-3,level-0,Drifting orbit,in_situ_plasma_probe,jason-3,Raw data at full instrument resolution.
drift,in_situ_plasma_probe,jason-3,level-1,Drifting orbit,in_situ_plasma_probe,jason-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,in_situ_plasma_probe,swarm-a,level-0,Drifting orbit,in_situ_plasma_probe,swarm-a,Raw data at full instrument resolution.
drift,in_situ_plasma_probe,swarm-a,level-1,Drifting orbit,in_situ_plasma_probe,swarm-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
drift,in_situ_plasma_probe,swarm-b,level-0,Drifting orbit,in_situ_plasma_probe,swarm-b,Raw data at full instrument resolution.
drift,in_situ_plasma_probe,swarm-b,level-1,Drifting orbit,in_situ_plasma_probe,swarm-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
ecliptic,energetic-particle-spectrometer-and-magnetometer,stereo-a,level-0,Ecliptic orbit,energetic-particle-spectrometer-and-magnetometer,stereo-a,Raw data at full instrument resolution.
ecliptic,energetic-particle-spectrometer-and-magnetometer,stereo-a,level-1,Ecliptic orbit,energetic-particle-spectrometer-and-magnetometer,stereo-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
ecliptic,solar_activity_monitor,stereo-a,level-0,Ecliptic orbit,solar_activity_monitor,stereo-a,Raw data at full instrument resolution.
ecliptic,solar_activity_monitor,stereo-a,level-1,Ecliptic orbit,solar_activity_monitor,stereo-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
ecliptic,solar_magnetograph,stereo-a,level-0,Ecliptic orbit,solar_magnetograph,stereo-a,Raw data at full instrument resolution.
ecliptic,solar_magnetograph,stereo-a,level-1,Ecliptic orbit,solar_magnetograph,stereo-a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,energetic-particle-spectrometer-and-magnetometer,electro-l-n4,level-0,Geostationary orbit,energetic-particle-spectrometer-and-magnetometer,electro-l-n4,Raw data at full instrument resolution.
geo,energetic-particle-spectrometer-and-magnetometer,electro-l-n4,level-1,Geostationary orbit,energetic-particle-spectrometer-and-magnetometer,electro-l-n4,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,energetic-particle-spectrometer-and-magnetometer,tempo,level-0,Geostationary orbit,energetic-particle-spectrometer-and-magnetometer,tempo,Raw data at full instrument resolution.
geo,energetic-particle-spectrometer-and-magnetometer,tempo,level-1,Geostationary orbit,energetic-particle-spectrometer-and-magnetometer,tempo,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,in_situ_plasma_probe,electro-l-n2,level-0,Geostationary orbit,in_situ_plasma_probe,electro-l-n2,Raw data at full instrument resolution.
geo,in_situ_plasma_probe,electro-l-n2,level-1,Geostationary orbit,in_situ_plasma_probe,electro-l-n2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,in_situ_plasma_probe,electro-l-n3,level-0,Geostationary orbit,in_situ_plasma_probe,electro-l-n3,Raw data at full instrument resolution.
geo,in_situ_plasma_probe,electro-l-n3,level-1,Geostationary orbit,in_situ_plasma_probe,electro-l-n3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
